#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1268.0000  4.567009e+00  1.290102e-01                     0
   1268.4000  4.725827e+00  1.283020e-01                     0
   1268.8000  4.821112e+00  1.340390e-01                     0
   1269.2000  4.819844e+00  1.286009e-01                     0
   1269.6000  4.746507e+00  1.324709e-01                     0
   1270.0000  4.812172e+00  1.311248e-01                     0
   1270.4000  4.627189e+00  1.882755e-01                     0
   1270.8000  4.738963e+00  2.106250e-01                     0
   1271.2000  3.929228e+00  1.963196e-01                     0
   1271.6000  4.457211e+00  2.024599e-01                     0
   1272.0000  4.874293e+00  1.975739e-01                     0
   1272.4000  4.268315e+00  1.841757e-01                     0
   1272.8000  5.035701e+00  2.048835e-01                     0
   1273.2000  5.060295e+00  1.992522e-01                     0
   1273.6000  5.086380e+00  2.169295e-01                     0
   1274.0000  4.474819e+00  2.050669e-01                     0
   1274.4000  0.000000e+00  1.000000e+00                     0
   1274.8000  0.000000e+00  1.000000e+00                     0
   1275.2000  0.000000e+00  1.000000e+00                     0
   1275.6000  0.000000e+00  1.000000e+00                     0
   1276.0000  0.000000e+00  1.000000e+00                     0
   1276.4000  0.000000e+00  1.000000e+00                     0
   1276.8000  0.000000e+00  1.000000e+00                     0
   1277.2000  0.000000e+00  1.000000e+00                     0
   1277.6000  0.000000e+00  1.000000e+00                     0
   1278.0000  0.000000e+00  1.000000e+00                     0
   1278.4000  0.000000e+00  1.000000e+00                     0
   1278.8000  0.000000e+00  1.000000e+00                     0
   1279.2000  0.000000e+00  1.000000e+00                     0
   1279.6000  0.000000e+00  1.000000e+00                     0
   1280.0000  0.000000e+00  1.000000e+00                     0
   1280.4000  0.000000e+00  1.000000e+00                     0
   1280.8000  0.000000e+00  1.000000e+00                     0
   1281.2000  0.000000e+00  1.000000e+00                     0
   1281.6000  0.000000e+00  1.000000e+00                     0
   1282.0000  0.000000e+00  1.000000e+00                     0
   1282.4000  0.000000e+00  1.000000e+00                     0
   1282.8000  0.000000e+00  1.000000e+00                     0
   1283.2000  0.000000e+00  1.000000e+00                     0
   1283.6000  0.000000e+00  1.000000e+00                     0
   1284.0000  0.000000e+00  1.000000e+00                     0
   1284.4000  0.000000e+00  1.000000e+00                     0
   1284.8000  0.000000e+00  1.000000e+00                     0
   1285.2000  0.000000e+00  1.000000e+00                     0
   1285.6000  0.000000e+00  1.000000e+00                     0
   1286.0000  0.000000e+00  1.000000e+00                     0
   1286.4000  0.000000e+00  1.000000e+00                     0
   1286.8000  0.000000e+00  1.000000e+00                     0
   1287.2000  0.000000e+00  1.000000e+00                     0
   1287.6000  2.607886e+00  1.083413e-01                     0
   1288.0000  3.524416e+00  1.567735e-01                     0
   1288.4000  4.246725e+00  1.980550e-01                     0
   1288.8000  4.755988e+00  2.098377e-01                     0
   1289.2000  4.911649e+00  2.111208e-01                     0
   1289.6000  0.000000e+00  1.000000e+00                     0
   1290.0000  0.000000e+00  1.000000e+00                     0
   1290.4000  4.069205e+00  2.004312e-01                     0
   1290.8000  4.528948e+00  2.038877e-01                     0
   1291.2000  5.026025e+00  1.453660e-01                     0
   1291.6000  4.904788e+00  1.442082e-01                     0
   1292.0000  4.524063e+00  1.373089e-01                     0
   1292.4000  3.986322e+00  1.320760e-01                     0
   1292.8000  3.479148e+00  1.258894e-01                     0
   1293.2000  3.651125e+00  1.263138e-01                     1
   1293.6000  4.413358e+00  1.645289e-01                     1
   1294.0000  3.930700e+00  1.366152e-01                     1
   1294.4000  4.543072e+00  1.396158e-01                     1
   1294.8000  4.852622e+00  1.398743e-01                     1
   1295.2000  4.685621e+00  1.327759e-01                     1
   1295.6000  4.793479e+00  1.437016e-01                     1
   1296.0000  4.517325e+00  1.391840e-01                     1
   1296.4000  4.578977e+00  1.421432e-01                     1
   1296.8000  4.651160e+00  1.429832e-01                     1
   1297.2000  4.729373e+00  1.427067e-01                     1
   1297.6000  4.201342e+00  1.381552e-01                     1
   1298.0000  3.861401e+00  1.337285e-01                     0
   1298.4000  4.185158e+00  1.357172e-01                     0
   1298.8000  4.755559e+00  1.392469e-01                     0
   1299.2000  4.604690e+00  1.363462e-01                     0
   1299.6000  4.482920e+00  1.398124e-01                     0
   1300.0000  4.222798e+00  1.377370e-01                     0
   1300.4000  3.963112e+00  1.353807e-01                     0
   1300.8000  3.347731e+00  1.252807e-01                     0
   1301.2000  3.090606e+00  1.213698e-01                     0
   1301.6000  6.448994e+00  1.656013e-01                     0
   1302.0000  1.221683e+01  2.443367e-01                     0
   1302.4000  1.242797e+01  2.485594e-01                     0
   1302.8000  5.912292e+00  1.592638e-01                     0
   1303.2000  2.337076e+00  1.060879e-01                     0
   1303.6000  2.708549e+00  1.118924e-01                     0
   1304.0000  3.701541e+00  1.331637e-01                     0
   1304.4000  5.631081e+00  1.565501e-01                     0
   1304.8000  1.077267e+01  2.359286e-01                     0
   1305.2000  9.559666e+00  2.164512e-01                     0
   1305.6000  4.912995e+00  1.496488e-01                     0
   1306.0000  6.371617e+00  1.640560e-01                     0
   1306.4000  6.734603e+00  1.693164e-01                     0
   1306.8000  4.668945e+00  1.466825e-01                     0
   1307.2000  3.269275e+00  1.193057e-01                     0
   1307.6000  2.450613e+00  1.109448e-01                     0
   1308.0000  2.624304e+00  1.175449e-01                     0
   1308.4000  3.621654e+00  1.322756e-01                     0
   1308.8000  3.858910e+00  1.716957e-01                     0
   1309.2000  3.958098e+00  1.395157e-01                     0
   1309.6000  3.169863e+00  1.255045e-01                     0
   1310.0000  2.754091e+00  1.181051e-01                     0
   1310.4000  2.858357e+00  1.223624e-01                     0
   1310.8000  4.051571e+00  1.395297e-01                     0
   1311.2000  3.910937e+00  1.351613e-01                     0
   1311.6000  4.160206e+00  1.350508e-01                     1
   1312.0000  4.375873e+00  1.385656e-01                     1
   1312.4000  4.232318e+00  1.399752e-01                     1
   1312.8000  4.436692e+00  1.439559e-01                     1
   1313.2000  4.571482e+00  1.466592e-01                     1
   1313.6000  4.795007e+00  1.477055e-01                     1
   1314.0000  5.126165e+00  1.524825e-01                     0
   1314.4000  5.035683e+00  1.522579e-01                     0
   1314.8000  4.902383e+00  1.492049e-01                     0
   1315.2000  4.609387e+00  1.451207e-01                     0
   1315.6000  4.572451e+00  1.380958e-01                     0
   1316.0000  4.397037e+00  1.407766e-01                     0
   1316.4000  4.915569e+00  1.495640e-01                     1
   1316.8000  4.415100e+00  1.448965e-01                     1
   1317.2000  5.021849e+00  1.519548e-01                     1
   1317.6000  5.015159e+00  1.499984e-01                     1
   1318.0000  4.840953e+00  1.505148e-01                     1
   1318.4000  4.551841e+00  1.467081e-01                     1
   1318.8000  4.423988e+00  1.428946e-01                     1
   1319.2000  3.944452e+00  1.376379e-01                     1
   1319.6000  4.028100e+00  1.394508e-01                     1
   1320.0000  4.631109e+00  1.362523e-01                     1
   1320.4000  5.064374e+00  1.490149e-01                     1
   1320.8000  4.581800e+00  1.469766e-01                     1
   1321.2000  4.554285e+00  1.453940e-01                     1
   1321.6000  4.312048e+00  1.422622e-01                     1
   1322.0000  4.492929e+00  1.465651e-01                     1
   1322.4000  4.683669e+00  1.484185e-01                     1
   1322.8000  4.333276e+00  1.425882e-01                     1
   1323.2000  4.610367e+00  1.483300e-01                     1
   1323.6000  4.871167e+00  1.508178e-01                     1
   1324.0000  4.809820e+00  1.362848e-01                     1
   1324.4000  4.457904e+00  1.459288e-01                     1
   1324.8000  4.477902e+00  1.469459e-01                     1
   1325.2000  4.644888e+00  1.461570e-01                     1
   1325.6000  4.851302e+00  1.509123e-01                     1
   1326.0000  4.781697e+00  1.510997e-01                     1
   1326.4000  4.749197e+00  1.483107e-01                     1
   1326.8000  4.764195e+00  1.494623e-01                     1
   1327.2000  4.574034e+00  1.481694e-01                     1
   1327.6000  4.280952e+00  1.427998e-01                     1
   1328.0000  4.399204e+00  1.448963e-01                     1
   1328.4000  4.479135e+00  1.363800e-01                     1
   1328.8000  4.747878e+00  1.483288e-01                     1
   1329.2000  4.812469e+00  1.495483e-01                     1
   1329.6000  4.746700e+00  1.506417e-01                     1
   1330.0000  4.298246e+00  1.439074e-01                     1
   1330.4000  3.647271e+00  1.331229e-01                     1
   1330.8000  3.283439e+00  1.304059e-01                     1
   1331.2000  3.730214e+00  1.371408e-01                     1
   1331.6000  4.127126e+00  1.401578e-01                     0
   1332.0000  4.584669e+00  1.472848e-01                     0
   1332.4000  5.349143e+00  1.482161e-01                     0
   1332.8000  4.880521e+00  1.497756e-01                     0
   1333.2000  5.056052e+00  1.535639e-01                     0
   1333.6000  4.446816e+00  1.468569e-01                     0
   1334.0000  3.542905e+00  1.327071e-01                     0
   1334.4000  1.885903e+00  1.043469e-01                     0
   1334.8000  9.401868e-01  8.296333e-02                     0
   1335.2000  2.476658e+00  1.161495e-01                     0
   1335.6000  2.950411e+00  1.238706e-01                     0
   1336.0000  2.568110e+00  1.191969e-01                     0
   1336.4000  3.664107e+00  1.342282e-01                     0
   1336.8000  3.870964e+00  1.274208e-01                     0
   1337.2000  3.970289e+00  1.387798e-01                     0
   1337.6000  4.083292e+00  1.416230e-01                     0
   1338.0000  4.248490e+00  1.417194e-01                     0
   1338.4000  4.354025e+00  1.452214e-01                     0
   1338.8000  4.395488e+00  1.457592e-01                     0
   1339.2000  4.044628e+00  1.382707e-01                     0
   1339.6000  3.907908e+00  1.377134e-01                     0
   1340.0000  3.542350e+00  1.337041e-01                     0
   1340.4000  2.519194e+00  1.149797e-01                     0
   1340.8000  2.096292e+00  1.030461e-01                     0
   1341.2000  2.268075e+00  1.130901e-01                     0
   1341.6000  2.188064e+00  1.108830e-01                     0
   1342.0000  2.595627e+00  1.176911e-01                     0
   1342.4000  2.580710e+00  1.187027e-01                     0
   1342.8000  3.329244e+00  1.295837e-01                     0
   1343.2000  4.430293e+00  1.438039e-01                     0
   1343.6000  4.873083e+00  1.514991e-01                     1
   1344.0000  5.073098e+00  1.537735e-01                     1
   1344.4000  4.686639e+00  1.467259e-01                     1
   1344.8000  4.759686e+00  1.474359e-01                     1
   1345.2000  4.581604e+00  1.381493e-01                     1
   1345.6000  4.223938e+00  1.403245e-01                     1
